split_id	comparison_status	shared_clade	left_support	right_support	left_support_fraction	right_support_fraction	support_fraction_delta	support_disagreement	support_conflict_classification	support_conflict_strength	left_length	right_length	length_delta	length_ratio	branch_score_status	branch_score_difference	branch_score_squared_difference
bat_chile_rv108	right_only	false						false							shared		
bat_chile_rv108|bat_chile_rv50	right_only	false						false							shared		
bat_chile_rv108|bat_chile_rv50|dog_pakistan_pdb011	right_only	false						false							shared		
bat_chile_rv108|bat_chile_rv50|dog_pakistan_pdb011|raccoon_dog_poland_2021	right_only	false						false							shared		
bat_chile_rv50	right_only	false						false							shared		
bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	left_only	false						false	support_unavailable	unavailable							
cattle_russia_4092_13_2025	right_only	false						false							shared		
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	shared	true	100.0	100.0	1.0	1.0	0.0	false			0.0170069874				shared		
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	shared	true	100.0	100.0	1.0	1.0	0.0	false			0.1360134198						
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	shared	true	100.0	99.9	1.0	0.9990000000000001	0.0009999999999998899	false			0.0631040468						
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	shared	true	99.0	99.0	0.99	0.99	0.0	false			0.0226466991						
cattle_russia_4092_15_2025	right_only	false						false							shared		
dog_pakistan_pdb011	right_only	false						false							shared		
raccoon_dog_poland_2021	right_only	false						false							shared		
raccoon_dog_russia_4092_26_2025	right_only	false						false							shared		
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	shared	true	92.0	92.2	0.92	0.922	0.0020000000000000018	false			0.0078975386				shared		
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	shared	true	84.0	84.4	0.84	0.8440000000000001	0.004000000000000115	false			0.0024457758				shared		
red_fox_russia_4092_18_2025	right_only	false						false							shared		
red_fox_russia_4092_20_2025	right_only	false						false							shared		
